Photo,Temp,Class
1175,79.3,On
1243,79.26,On
1210,78.53,On
1208,78.97,On
1188,78.9,On
1205,78.94,On
1193,78.94,On
1207,78.9,On
1188,78.97,On
1229,78.5,On
1193,78.97,On
1204,78.94,On
1188,79.01,On
1205,78.94,On
1190,78.94,On
1217,78.68,On
1188,78.94,On
1249,78.5,On
1190,78.9,On
1207,78.9,On
1188,78.94,On
1203,79.01,On
1191,78.94,On
1208,79.01,On
1185,78.83,On
1205,78.97,On
1191,78.97,On
1209,78.97,On
1189,78.9,On
1204,78.97,On
1192,78.86,On
1209,78.97,On
1187,78.94,On
1250,78.53,On
1189,79.01,On
1205,78.97,On
1185,78.94,On
1224,78.46,On
1189,79.01,On
1251,78.46,On
1189,78.94,On
1204,78.97,On
1192,78.94,On
1212,78.9,On
1194,78.86,On
1212,78.9,On
1193,79.12,On
1219,78.94,On
1205,78.9,On
1263,78.46,On
1207,78.9,On
1227,79.05,On
1208,78.94,On
1237,78.72,On
1213,78.94,On
1232,79.01,On
1216,78.94,On
1233,79.01,On
1224,78.94,On
1241,79.01,On
1226,78.97,On
1242,78.94,On
1235,78.97,On
1252,78.94,On
1240,79.01,On
1261,79.01,On
1253,78.97,On
1269,78.94,On
1260,78.9,On
1279,78.97,On
1275,78.97,On
1291,79.01,On
1280,79.01,On
1302,79.05,On
1297,79.05,On
1317,79.05,On
1308,79.08,On
1325,79.01,On
1321,79.05,On
1336,79.01,On
1329,79.05,On
1344,78.97,On
1340,79.01,On
1356,79.01,On
1349,79.01,On
1376,78.57,On
1361,79.05,On
1404,78.53,On
1364,79.08,On
1370,79.12,On
1363,78.94,On
1373,79.05,On
1361,79.05,On
1368,79.12,On
1375,78.64,On
1368,78.97,On
1361,78.75,On
1361,79.01,On
1349,78.94,On
1353,79.05,On
1337,79.05,On
1342,78.97,On
1329,78.97,On
1335,79.08,On
1317,79.01,On
1322,79.01,On
1307,78.97,On
1315,79.05,On
1293,78.83,On
1303,79.01,On
1285,78.94,On
1300,78.75,On
1269,78.94,On
1281,78.94,On
1270,78.61,On
1272,79.01,On
1249,78.97,On
1291,78.46,On
1262,78.46,On
1253,79.01,On
1231,79.01,On
1241,78.94,On
1220,78.9,On
1234,79.01,On
1211,78.9,On
1227,78.97,On
1222,78.5,On
1220,78.94,On
1197,78.97,On
1217,78.97,On
1197,78.9,On
1215,79.01,On
1193,78.94,On
1213,78.94,On
1199,78.9,On
1239,78.57,On
1200,78.94,On
1222,79.01,On
1207,78.94,On
1233,79.05,On
1215,78.97,On
1239,79.01,On
1225,78.97,On
1248,78.94,On
1234,78.97,On
1296,78.53,On
1248,78.9,On
1268,79.08,On
1253,78.94,On
1279,79.01,On
1289,78.5,On
1324,78.5,On
1279,79.01,On
1296,78.97,On
1286,78.94,On
1310,79.08,On
1294,79.01,On
1315,79.05,On
1321,78.5,On
1329,78.97,On
1317,79.01,On
1332,79.08,On
1326,78.94,On
1342,79.08,On
1330,78.97,On
1377,78.57,On
1343,79.01,On
1357,79.16,On
1347,79.01,On
1357,79.01,On
1351,79.01,On
1363,79.05,On
1350,79.08,On
1363,79.01,On
1367,78.57,On
1365,79.05,On
1347,79.01,On
1390,78.57,On
1347,78.97,On
1355,79.05,On
1336,79.08,On
1345,79.01,On
1330,79.01,On
1367,78.53,On
1317,79.01,On
1328,79.01,On
1310,79.01,On
1319,79.08,On
1298,78.97,On
1307,77.15,On
1314,78.46,On
1298,78.97,On
1271,79.01,On
1281,79.01,On
1263,79.01,On
1276,79.01,On
1249,79.01,On
1262,78.94,On
1242,79.01,On
1256,78.97,On
1229,78.97,On
1243,79.01,On
1220,79.01,On
1235,78.97,On
1208,78.94,On
1226,78.9,On
1202,78.94,On
1220,78.94,On
1192,78.94,On
1220,78.68,On
1190,78.9,On
1210,78.94,On
1184,79.05,On
1227,78.5,On
1190,78.94,On
1211,78.9,On
1189,78.97,On
1211,78.97,On
1195,78.94,On
1220,78.94,On
1199,79.01,On
1223,78.94,On
1254,78.53,On
1232,78.97,On
1224,78.72,On
1239,78.9,On
1228,79.08,On
1248,78.94,On
1234,79.05,On
1255,79.23,On
1257,78.68,On
1271,79.01,On
1255,79.01,On
1277,78.97,On
1271,78.9,On
1331,78.53,On
1280,78.94,On
1299,78.94,On
1292,78.94,On
1314,79.01,On
1302,79.08,On
1320,78.97,On
1314,78.94,On
1331,78.97,On
1333,78.5,On
1337,79.01,On
1347,78.53,On
1346,79.05,On
1333,79.01,On
1349,79.01,On
1340,79.01,On
1354,78.97,On
1360,78.57,On
1357,79.01,On
1347,79.01,On
1357,79.08,On
1340,79.01,On
1353,79.16,On
1340,78.94,On
1351,79.01,On
1333,79.05,On
1344,79.05,On
1329,78.97,On
1337,79.05,On
